field_key,component_name,lv2_scope,requiredness,source_file
audioId,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
autoAdvance,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
body,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
buttons,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
cefrLevel,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
cefrMax,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
cefrMin,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
choiceElements,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
commonMisconceptions,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
competencyTags,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
coreTopics,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
culturalContext,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
defaultLang,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
delayMs,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
description,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
diagnosticChecks,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
differentiationPaths,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
differentiationStrategies,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
diffLog,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
discourseFocus,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
estimatedMinutes,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
exampleResponses,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
expansionGuidelines,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
expectedCompletionRate,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
expectedTimeOnTask,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
extractabilityTier,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
extraPracticeNotes,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
forbiddenPatterns,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
grammarFocus,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
groupId,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
groupName,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
ingestPayload,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
ingestSource,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
instructions,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
isRequiredToPass,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
keywords,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
l1InterferenceNotes,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
lastUpdatedAt,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
lastUpdatedBy,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
learningObjectives,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
lessonId,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
levelMax,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
levelMin,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
linkedResources,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
manualOverrideJson,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
masteryRule,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
masteryThreshold,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
maxAttempts,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
maxScoreValue,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
metadata,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
minAttemptsBeforeSkip,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
moduleId,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
note,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
notesForTeacherOrAI,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
orderIndex,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
ownerTeam,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
passingScoreType,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
passingScoreValue,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
passRequiredForNext,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
prerequisiteEdges,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
prerequisiteModules,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
prerequisiteNodes,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
prerequisites,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
prerequisiteSlices,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
priorLessons,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
promptMode,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
pronunciationFocus,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
propsJson,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
registerTone,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
registerVariants,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
remediationGuidance,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
remediationPaths,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
requiredScore,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
retryPolicy,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
runtimeContractV1,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
shortSummaryTeacherActivity,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
shortSummaryTeacherSlide,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
signatureMetaphors,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
simplificationGuidelines,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
skipPolicy,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
slideId,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
slug,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
sourceVersion,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
styleConstraints,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
subtitle,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
successCriteria,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
tags,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
targetedEdges,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
targetedNodes,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
targetedSlices,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
targetLanguage,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
targetNodeKeys,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
teacherNotes,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
teacherOverview,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
telemetryTags,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
textSubtype,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
timeExpectationActivity,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
title,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
topicCategory,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
type,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
version,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
visibility,activity_slides,ACT-003,required,lv2_central_brain/activity_003.md
vocabularyTheme,activity_slides,ACT-003,optional,lv2_central_brain/activity_003.md
activityId,activity_slides,ACT-004,required,lv2_central_brain/activity_004.md
aiInstructions,activity_slides,ACT-004,optional,lv2_central_brain/activity_004.md
allowRetry,activity_slides,ACT-004,required,lv2_central_brain/activity_004.md
allowSkip,activity_slides,ACT-004,required,lv2_central_brain/activity_004.md
anecdoteOrMemoryHook,activity_slides,ACT-004,optional,lv2_central_brain/activity_004.md
assessmentPlan,activity_slides,ACT-004,optional,lv2_central_brain/activity_004.md
audienceNotes,activity_slides,ACT-004,optional,lv2_central_brain/activity_004.md
audioId,activity_slides,ACT-004,optional,lv2_central_brain/activity_004.md
audioPrompt,activity_slides,ACT-004,required,lv2_central_brain/activity_004.md
autoAdvance,activity_slides,ACT-004,optional,lv2_central_brain/activity_004.md
body,activity_slides,ACT-004,optional,lv2_central_brain/activity_004.md
buttons,activity_slides,ACT-004,optional,lv2_central_brain/activity_004.md
cefrLevel,activity_slides,ACT-004,required,lv2_central_brain/activity_004.md
cefrMax,activity_slides,ACT-004,required,lv2_central_brain/activity_004.md
cefrMin,activity_slides,ACT-004,required,lv2_central_brain/activity_004.md
commonMisconceptions,activity_slides,ACT-004,optional,lv2_central_brain/activity_004.md
competencyTags,activity_slides,ACT-004,optional,lv2_central_brain/activity_004.md
coreTopics,activity_slides,ACT-004,required,lv2_central_brain/activity_004.md
correctCurveId,activity_slides,ACT-004,required,lv2_central_brain/activity_004.md
